ID,Age
PD01160,61
PD00869,58
PD00457,65
PD00458,66
PD00849,62
PD00955,59
PD01223,64
PD01145,78
PD01237,59
PD01247,69
PD00999,60
PD00215,48
PD00020,74
PD01290,82
PD00786,53
PD00576,66
PD01270,70
PD01306,68
PD01284,62
PD00647,72
PD01201,71
PD01161,65
PD01133,63
PD00146,64
PD00471,69
PD01312,57
PD01319,66
PD01225,56
PD01156,82
PD01126,74
PD00048,75
PD01146,68
PD00666,56
PD00472,73
PD01003,65
PD01377,64
PD00267,80
PD00583,77
PD01369,50
PD00653,77
PD01667,58
PD01559,55
PD01660,65
PD01623,61
PD01485,60
PD01715,69
